1	0
1	30
1	120
2	0
2	30
2	120
3	0
3	30
3	120
4	0
4	30
4	120
5	0
5	30
5	120
6	0
6	30
6	120
7	0
7	30
7	120
8	0
8	30
8	120
9	0
9	30
9	120
10	0
10	30
10	120
11	0
11	30
11	120
12	0
12	30
12	120
13	0
13	30
13	120
14	0
14	30
14	120
15	0
15	30
15	120
16	0
16	30
16	120
17	0
17	30
17	120
18	0
18	30
18	120
19	0
19	30
19	120
20	0
20	30
20	120
21	0
21	30
21	120
22	0
22	30
22	120
23	0
23	30
23	120
24	0
24	30
24	120
25	0
25	30
25	120
26	0
26	30
26	120
27	0
27	30
27	120
28	0
28	30
28	120
29	0
29	30
29	120
30	0
30	30
30	120
31	0
31	30
31	120
32	0
32	30
32	120
33	0
33	30
33	120
34	0
34	30
34	120
35	0
35	30
35	120
36	0
36	30
36	120
37	0
37	30
37	120
38	0
38	30
38	120
39	0
39	30
39	120
40	0
40	30
40	120
41	0
41	30
41	120
42	0
42	30
42	120
43	0
43	30
43	120
44	0
44	30
44	120
45	0
45	30
45	120
46	0
46	30
46	120
47	0
47	30
47	120
48	0
48	30
48	120
49	0
49	30
49	120
50	0
50	30
50	120
